publication_year,n,deepseek_rate_pct,jev_rate_pct,agreement_pct,kappa
1990,851,12.6,17.9,94,0.769
1991,907,16.9,21.1,95.1,0.843
1992,953,13.7,19.7,93.2,0.757
1993,941,19.2,24.5,93,0.796
1994,983,18.7,24.4,92.9,0.791
1995,1013,18,23.1,92.7,0.777
1996,1066,18.2,24.9,92.2,0.771
1997,1212,18,22.6,94.7,0.837
1998,1183,19.9,25,92.8,0.794
1999,1251,19.8,25.1,92.8,0.794
2000,1275,19.7,24.5,94,0.825
2001,1289,20.1,25.9,93.3,0.81
2002,958,19.5,24,93.4,0.807
2003,1142,21.2,25.7,93.6,0.822
2004,1314,23.6,29.6,91.9,0.792
2005,1249,23.3,28.7,93.8,0.84
2006,1211,23.1,27.5,94.5,0.854
2007,1361,23.7,29.5,93.4,0.831
2008,1290,23.6,26.8,94.8,0.863
2009,1433,28.3,32.4,94,0.858
2010,1387,27.2,32,91.9,0.805
2011,1438,24.8,28.9,94.3,0.855
2012,1477,26.1,31.5,92.8,0.824
2013,1687,28.2,33.4,92.1,0.816
2014,1716,25.2,32.5,90.8,0.777
2015,1726,28.2,35.2,90.4,0.78
2016,1337,27.4,33.3,93,0.834
2017,1543,32.1,38.4,91,0.804
2018,1608,32.3,37.9,91.9,0.823
2019,1539,32.2,38.2,91.4,0.811
2020,1332,34.9,42.6,90.1,0.792
2021,1726,36.4,42.1,91.3,0.818
2022,1609,36.7,42.6,91.8,0.829
2023,1385,34.6,40.6,92.2,0.835
2024,1279,36.2,41.9,91.5,0.822
